Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,GSW,Joe Smith,University of Maryland,16,1030,27022,11208,6575,1010,.455,.238,.790,26.2,10.9,6.4,1.0,60.3,.107,-1.1,5.9
2,2,LAC,Antonio McDyess,University of Alabama,15,1015,28053,12227,7638,1300,.497,.117,.670,27.6,12.0,7.5,1.3,69.8,.119,0.3,16.4
3,3,PHI,Jerry Stackhouse,University of North Carolina,18,970,30222,16409,3067,3240,.409,.309,.822,31.2,16.9,3.2,3.3,52.4,.083,-0.3,12.8
4,4,WSB,Rasheed Wallace,University of North Carolina,16,1109,36243,16006,7404,1994,.467,.336,.721,32.7,14.4,6.7,1.8,105.1,.139,2.1,37.5
5,5,MIN,Kevin Garnett,21,1462,50418,26071,14662,5445,.497,.275,.789,34.5,17.8,10.0,3.7,191.4,.182,5.4,94.0
6,6,VAN,Bryant Reeves,Oklahoma State University,6,395,12071,4945,2745,623,.475,.074,.703,30.6,12.5,6.9,1.6,13.0,.052,-2.6,-1.8
7,7,TOR,Damon Stoudamire,University of Arizona,13,878,29106,11763,3039,5371,.406,.357,.833,33.2,13.4,3.5,6.1,55.4,.091,0.1,15.4
8,8,POR,Shawn Respert,Michigan State University,4,172,2350,851,226,177,.414,.340,.816,13.7,4.9,1.3,1.0,2.1,.043,-3.6,-0.9
9,9,NJN,Ed O'Bannon,University of California, Los Angeles,2,128,2062,634,316,102,.367,.222,.755,16.1,5.0,2.5,0.8,1.1,.025,-3.8,-1.0
10,10,MIA,Kurt Thomas,Texas Christian University,18,1110,27160,8973,7328,1204,.486,.281,.760,24.5,8.1,6.6,1.1,64.2,.114,-0.1,13.2
