Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Miami Heat,55,27,.671,95.0,90.0,5.09
New York Knicks,43,39,.524,91.6,89.1,2.74
New Jersey Nets,43,39,.524,99.6,98.1,1.88
Washington Wizards,42,40,.512,97.2,96.6,1.11
Orlando Magic,41,41,.500,90.1,91.2,-0.53
Boston Celtics,36,46,.439,95.9,98.5,-1.96
Philadelphia 76ers,31,51,.378,93.3,95.7,-1.89

Chicago Bulls,62,20,.756,96.7,89.6,7.24
Indiana Pacers,58,24,.707,96.0,89.9,6.25
Charlotte Hornets,51,31,.622,96.6,94.6,2.45
Atlanta Hawks,50,32,.610,95.9,92.3,3.85
Cleveland Cavaliers,47,35,.573,92.5,89.8,3.06
Detroit Pistons,37,45,.451,94.2,92.6,1.95
Milwaukee Bucks,36,46,.439,94.5,96.4,-1.33
Toronto Raptors,16,66,.195,94.9,104.2,-8.33
