Type,Name,Stat-Value
Minutes Played,Larry Johnson, 3323
Field Goals,Michael Jordan, 992
Field Goal Attempts,Michael Jordan, 2003
2-Pt Field Goals,Michael Jordan, 911
2-Pt Field Goal Attempts,Michael Jordan, 1773
3-Pt Field Goals,Dan Majerle, 167
3-Pt Field Goal Attempts,Dan Majerle, 438
Field Goals Missed,Michael Jordan, 1011
Free Throws,Karl Malone, 619
Free Throw Attempts,Karl Malone, 836
Offensive Rebounds,Dennis Rodman, 367
Defensive Rebounds,Patrick Ewing, 789
Total Rebounds,Dennis Rodman, 1132
Assists,John Stockton, 987
Steals,Michael Jordan, 221
Blocks,Hakeem Olajuwon, 342
Turnovers,Shaquille O'Neal, 307
Personal Fouls,Stanley Roberts, 332
Points,Michael Jordan, 2541
Field Goal Pct,Cedric Ceballos, .576
2-Pt Field Goal Pct,Cedric Ceballos, .577
3-Pt Field Goal Pct,B.J. Armstrong, .453
Free Throw Pct,Mark Price, .948
Minutes Per Game,Larry Johnson, 40.5
Points Per Game,Michael Jordan, 32.6
Rebounds Per Game,Dennis Rodman, 18.3
Assists Per Game,John Stockton, 12.0
Steals Per Game,Michael Jordan, 2.8
Blocks Per Game,Hakeem Olajuwon, 4.2
Player Efficiency Rating,Michael Jordan, 29.7
True Shooting Pct,Brad Daugherty, .635
Effective Field Goal Pct,Kenny Smith, .585
Offensive Rebound Pct,Dennis Rodman, 16.1
Defensive Rebound Pct,Dennis Rodman, 36.8
Total Rebound Pct,Dennis Rodman, 26.0
Assist Pct,John Stockton, 49.8
Steal Pct,Nate McMillan, 4.4
Block Pct,Hakeem Olajuwon, 6.5
Turnover Pct,Harvey Grant, 6.6
Usage Pct,Michael Jordan, 34.7
Offensive Rating,Reggie Miller, 125.5
Defensive Rating,Patrick Ewing, 94.3
Offensive Win Shares,Michael Jordan, 12.0
Defensive Win Shares,Patrick Ewing, 8.1
Win Shares,Michael Jordan, 17.2
Win Shares Per 48 Minutes,Michael Jordan, .270
Box Plus/Minus,Michael Jordan, 9.5
Offensive Box Plus/Minus,Michael Jordan, 8.3
Defensive Box Plus/Minus,Hakeem Olajuwon, 5.4
Value Over Replacement Player,Michael Jordan, 8.9
