Team, W, L, PCT, GB, HOME, AWAY, DIV, CONF, PPG, OPP-PPG, DIFF, STRK
HOU,61,14,.813,-,31-6,30-8,12-3,38-8,113.6,104.2,+9.4,W10
TOR,55,20,.733,6,31-7,24-13,11-3,36-9,112.5,104.4,+8.1,W1
GS,54,20,.730,6.5,28-10,26-10,10-3,30-16,114.0,107.0,+7.0,L2
BOS,51,23,.689,9.5,24-13,27-10,10-3,30-15,104.2,100.2,+4.1,W4
POR,46,29,.613,15,25-13,21-16,8-6,28-17,106.0,103.3,+2.7,L1
CLE,45,30,.600,16,25-11,20-19,11-5,32-15,110.7,110.0,+0.7,W1
PHI,44,30,.595,16.5,26-11,18-19,8-7,27-18,108.9,105.5,+3.4,W8
IND,44,31,.587,17,26-13,18-18,10-6,31-18,105.6,103.9,+1.7,W3
OKC,44,31,.587,17,26-12,18-19,5-10,25-21,107.3,104.0,+3.2,L1
NO,43,32,.573,18,22-16,21-16,7-7,22-24,111.3,111.0,+0.4,L2
SA,43,32,.573,18,29-8,14-24,8-6,25-20,102.5,99.4,+3.1,L2
UTAH,42,32,.568,18.5,24-12,18-20,6-8,28-17,103.5,100.2,+3.3,W1
MIN,43,33,.566,18.5,28-10,15-23,9-4,30-16,109.9,107.7,+2.2,W1
WSH,41,33,.554,19.5,21-17,20-16,7-6,26-19,107.1,106.0,+1.2,W1
LAC,40,34,.541,20.5,21-15,19-19,11-3,22-23,109.5,108.5,+1.0,W2
MIA,40,35,.533,21,23-13,17-22,9-5,27-19,103.3,102.8,+0.5,W1
DEN,40,35,.533,21,27-10,13-25,6-6,24-23,109.7,108.5,+1.2,L2
MIL,39,35,.527,21.5,23-15,16-20,6-10,24-23,105.9,106.2,-0.3,L1
DET,34,40,.459,26.5,23-14,11-26,8-7,20-26,103.1,103.8,-0.7,W2
CHA,34,42,.447,27.5,21-18,13-24,10-4,20-26,107.8,107.8,+0.0,L1
LAL,32,41,.438,28,18-16,14-25,5-9,16-28,108.4,110.0,-1.6,L1
NY,27,49,.355,34.5,18-18,9-31,6-10,15-31,104.5,108.1,-3.6,L2
CHI,24,50,.324,36.5,15-22,9-28,4-11,18-26,103.1,110.2,-7.1,L6
SAC,24,51,.320,37,13-25,11-26,4-9,11-35,99.4,106.7,-7.4,L2
BKN,24,51,.320,37,14-25,10-26,1-13,15-30,106.5,110.5,-4.0,W1
DAL,23,51,.311,37.5,14-24,9-27,5-11,13-35,102.7,105.2,-2.5,W1
ORL,22,52,.297,38.5,15-22,7-30,4-9,13-32,104.3,109.1,-4.8,L1
MEM,21,54,.280,40,15-24,6-30,5-10,18-28,98.9,104.7,-5.8,W2
ATL,21,54,.280,40,15-22,6-32,3-9,9-36,103.7,109.2,-5.5,L4
PHX,19,56,.253,42,9-28,10-28,3-9,13-32,103.9,113.7,-9.9,L12
