Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bob Cousy,28,BOS,23.0,80,0.288,64,36.9,20.6,4.8,7.5,,.378,,.821,8.8,.178
2,Bob Pettit,24,STL,21.0,80,0.263,71,35.1,24.7,14.6,1.9,,.415,,.773,11.6,.224
3,Paul Arizin,28,PHW,9.0,80,0.113,71,39.0,25.6,7.9,2.1,,.422,,.829,12.3,.213
4,Dolph Schayes,28,SYR,8.0,80,0.100,72,39.6,22.5,14.0,3.2,,.379,,.904,12.5,.211
5,George Yardley,28,FTW,7.0,80,0.088,72,37.4,21.5,10.5,2.0,,.410,,.787,10.0,.179
6,Maurice Stokes,23,ROC,5.0,80,0.063,72,38.3,15.6,17.4,4.6,,.347,,.665,5.5,.096
7,Bill Russell,22,BOS,2.0,80,0.025,48,35.3,14.7,19.6,1.8,,.427,,.492,6.2,.176
8T,Ray Felix,26,NYK,1.0,80,0.013,72,22.5,12.0,8.2,0.5,,.416,,.747,5.5,.162
8T,Harry Gallatin,29,NYK,1.0,80,0.013,72,27.0,15.0,10.1,1.2,,.406,,.800,8.1,.199
8T,Mel Hutchins,28,FTW,1.0,80,0.013,72,36.8,12.4,7.9,2.9,,.387,,.738,2.8,.050
8T,Kenny Sears,23,NYK,1.0,80,0.013,72,34.9,14.8,8.5,1.4,,.418,,.790,8.0,.153
8T,Jack Twyman,22,ROC,1.0,80,0.013,72,32.5,16.3,4.9,1.7,,.439,,.760,8.8,.180
