Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Dave Cowens,24,BOS,67.0,444.0,875,0.507,82,41.8,20.5,16.2,4.1,,.452,,.779,12.0,.168
2,Kareem Abdul-Jabbar,25,MIL,33.0,339.0,875,0.387,76,42.8,30.2,16.1,5.0,,.554,,.713,21.9,.322
3,Tiny Archibald,24,KCO,44.0,319.0,875,0.365,80,46.0,34.0,2.8,11.4,,.488,,.847,14.2,.186
4,Wilt Chamberlain,36,LAL,12.0,123.0,875,0.141,82,43.2,13.2,18.6,4.5,,.727,,.510,18.2,.247
5,John Havlicek,32,BOS,5.0,88.0,875,0.101,80,42.1,23.8,7.1,6.6,,.450,,.858,12.1,.172
6,Jerry West,34,LAL,1.0,70.0,875,0.080,69,35.7,22.8,4.2,8.8,,.479,,.805,10.6,.206
7T,Walt Frazier,27,NYK,4.0,40.0,875,0.046,78,40.8,21.1,7.3,5.9,,.490,,.817,13.0,.196
7T,Spencer Haywood,23,SEA,4.0,40.0,875,0.046,77,42.3,29.2,12.9,2.5,,.476,,.839,10.2,.150
9,Nate Thurmond,31,GSW,2.0,33.0,875,0.038,79,43.3,17.1,3.5,,.446,,.718,9.9,.140
10,Elvin Hayes,27,BAL,1.0,18.0,875,0.021,81,41.3,21.2,14.5,1.6,,.444,,.671,7.6,.109
11T,Dave DeBusschere,32,NYK,0.0,9.0,875,0.010,77,36.7,16.3,10.2,3.4,,.435,,.746,6.6,.113
11T,Bob Love,30,CHI,0.0,9.0,875,0.010,82,37.0,23.1,6.5,1.5,,.431,,.824,6.3,.100
13,Elmore Smith,23,BUF,0.0,6.0,875,0.007,76,37.2,18.3,12.4,2.5,,.482,,.558,3.9,.067
14T,Bob Lanier,24,DET,1.0,5.0,875,0.006,81,38.9,23.8,14.9,3.2,,.490,,.773,10.6,.161
14T,Wes Unseld,26,BAL,1.0,5.0,875,0.006,79,39.1,12.5,15.9,4.4,,.493,,.703,10.7,.166
16T,Sidney Wicks,23,POR,0.0,3.0,875,0.003,80,39.4,23.8,10.9,5.5,,.452,,.723,5.6,.085
16T,Lenny Wilkens,35,CLE,0.0,3.0,875,0.003,75,39.6,20.5,4.6,8.4,,.449,,.828,9.5,.154
18,Lou Hudson,28,ATL,0.0,2.0,875,0.002,75,40.4,27.1,6.2,3.4,,.477,,.825,9.3,.148
19T,Lucius Allen,25,MIL,0.0,1.0,875,0.001,80,33.7,15.5,3.5,5.3,,.484,,.715,7.6,.135
19T,Rick Barry,28,GSW,0.0,1.0,875,0.001,82,37.5,22.3,8.9,4.9,,.452,,.902,10.2,.159
19T,Dave Bing,29,DET,0.0,1.0,875,0.001,82,41.0,22.4,3.6,7.8,,.448,,.814,8.6,.123
19T,Pete Maravich,25,ATL,0.0,1.0,875,0.001,79,39.1,26.1,4.4,6.9,,.441,,.800,7.6,.118
