Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,54,28,.659,106.2,99.3,6.86
Denver Nuggets,50,32,.610,110.7,107.0,3.74
Portland Trail Blazers,41,41,.500,95.4,96.3,-0.52
Minnesota Timberwolves,22,60,.268,95.6,102.4,-6.26
Seattle SuperSonics,20,62,.244,97.5,106.3,-8.04

Los Angeles Lakers,57,25,.695,108.6,101.3,7.34
Phoenix Suns,55,27,.671,110.1,105.0,5.14
Golden State Warriors,48,34,.585,111.0,108.8,2.38
Sacramento Kings,38,44,.463,102.5,104.8,-1.86
Los Angeles Clippers,23,59,.280,93.8,101.1,-6.56

New Orleans Hornets,56,26,.683,100.9,95.6,5.46
San Antonio Spurs,56,26,.683,95.4,90.6,5.10
Houston Rockets,55,27,.671,96.7,92.0,4.83
Dallas Mavericks,51,31,.622,100.4,95.9,4.70
Memphis Grizzlies,22,60,.268,100.7,106.9,-5.76
